Rust	fast
Rust	safe
Rust	systems
Rust	compiler
Rust	performance
Python	dynamic
Python	readable
Python	script
Python	flask
Python	numpy
CPU	processor
CPU	compute
CPU	cache
GPU	parallel
GPU	cuda
GPU	tensor
GPU	graphics
алгоритм	sort
алгоритм	search
алгоритм	complexity
функция	map
функция	filter
функция	lambda
цикл	for
цикл	while
цикл	iterate
условие	if
условие	else
условие	branch
массив	vector
массив	list
массив	slice
HashMap	key
HashMap	value
HashMap	hash
строка	text
строка	char
строка	utf8
ошибка	error
ошибка	panic
ошибка	unwrap
файл	open
файл	read
файл	write
сеть	socket
сеть	connect
сеть	send
поток	thread
поток	async
поток	await
UI	terminal
UI	render
UI	tui
база	store
база	query
база	sql
тест	assert
тест	verify
тест	bench
сборка	build
сборка	compile
сборка	link
память	memory
память	heap
память	stack
мусор	GC
мусор	alloc
мусор	drop
